date, rr, since start
2021-01-11 13:28:41 +0000, 745, 1490
2021-01-11 13:28:42 +0000, 762, 2252
2021-01-11 13:28:43 +0000, 827, 3079
2021-01-11 13:28:45 +0000, 680, 3759
2021-01-11 13:28:45 +0000, 713, 4472
2021-01-11 13:28:46 +0000, 737, 5209
2021-01-11 13:28:47 +0000, 770, 5979
2021-01-11 13:28:48 +0000, 852, 6831
2021-01-11 13:28:49 +0000, 983, 7814
2021-01-11 13:28:52 +0000, 1065, 8879
2021-01-11 13:28:53 +0000, 1081, 9960
2021-01-11 13:28:54 +0000, 1155, 11115
2021-01-11 13:28:55 +0000, 1196, 12311
2021-01-11 13:28:57 +0000, 1139, 13450
2021-01-11 13:28:58 +0000, 1106, 14556
2021-01-11 13:28:59 +0000, 1073, 15629
2021-01-11 13:29:00 +0000, 1049, 16678
2021-01-11 13:29:01 +0000, 1024, 17702
2021-01-11 13:29:02 +0000, 1098, 18800
2021-01-11 13:29:03 +0000, 1090, 19890
2021-01-11 13:29:04 +0000, 1147, 21037
2021-01-11 13:29:05 +0000, 1147, 22184
2021-01-11 13:29:06 +0000, 1130, 23314
2021-01-11 13:29:07 +0000, 1098, 24412
2021-01-11 13:29:08 +0000, 1130, 25542
2021-01-11 13:29:10 +0000, 1229, 26771
2021-01-11 13:29:11 +0000, 1221, 27992
2021-01-11 13:29:12 +0000, 1163, 29155
2021-01-11 13:29:13 +0000, 1204, 30359
2021-01-11 13:29:14 +0000, 1196, 31555
2021-01-11 13:29:15 +0000, 1090, 32645
2021-01-11 13:29:16 +0000, 1147, 33792
2021-01-11 13:29:18 +0000, 1204, 34996
2021-01-11 13:29:19 +0000, 1212, 36208
2021-01-11 13:29:20 +0000, 1155, 37363
2021-01-11 13:29:21 +0000, 1171, 38534
2021-01-11 13:29:22 +0000, 1196, 39730
2021-01-11 13:29:23 +0000, 1163, 40893
2021-01-11 13:29:24 +0000, 1081, 41974
2021-01-11 13:29:26 +0000, 1204, 43178
2021-01-11 13:29:27 +0000, 1286, 44464
2021-01-11 13:29:28 +0000, 1237, 45701
2021-01-11 13:29:29 +0000, 1212, 46913
2021-01-11 13:29:30 +0000, 1237, 48150
2021-01-11 13:29:32 +0000, 1229, 49379
2021-01-11 13:29:33 +0000, 1155, 50534
2021-01-11 13:29:34 +0000, 1171, 51705
2021-01-11 13:29:35 +0000, 1237, 52942
2021-01-11 13:29:36 +0000, 1253, 54195
2021-01-11 13:29:37 +0000, 1147, 55342
2021-01-11 13:29:39 +0000, 1196, 56538
2021-01-11 13:29:40 +0000, 1319, 57857
2021-01-11 13:29:41 +0000, 1270, 59127
2021-01-11 13:29:42 +0000, 1237, 60364
2021-01-11 13:29:44 +0000, 1278, 61642
2021-01-11 13:29:45 +0000, 1262, 62904
2021-01-11 13:29:46 +0000, 1196, 64100
2021-01-11 13:29:47 +0000, 1196, 65296
2021-01-11 13:29:48 +0000, 1212, 66508
2021-01-11 13:29:50 +0000, 1171, 67679
2021-01-11 13:29:51 +0000, 1147, 68826
2021-01-11 13:29:52 +0000, 1245, 70071
2021-01-11 13:29:53 +0000, 1303, 71374
2021-01-11 13:29:54 +0000, 1204, 72578
2021-01-11 13:29:55 +0000, 1155, 73733
2021-01-11 13:29:56 +0000, 1122, 74855
2021-01-11 13:29:58 +0000, 1139, 75994
2021-01-11 13:29:59 +0000, 1024, 77018
2021-01-11 13:30:00 +0000, 1114, 78132
2021-01-11 13:30:01 +0000, 1090, 79222
2021-01-11 13:30:02 +0000, 1130, 80352
2021-01-11 13:30:03 +0000, 1180, 81532
2021-01-11 13:30:04 +0000, 1147, 82679
2021-01-11 13:30:05 +0000, 1073, 83752
2021-01-11 13:30:06 +0000, 1081, 84833
2021-01-11 13:30:07 +0000, 1122, 85955
2021-01-11 13:30:09 +0000, 1171, 87126
2021-01-11 13:30:10 +0000, 1130, 88256
2021-01-11 13:30:11 +0000, 1065, 89321
2021-01-11 13:30:12 +0000, 1122, 90443
2021-01-11 13:30:13 +0000, 1221, 91664
2021-01-11 13:30:14 +0000, 1229, 92893
2021-01-11 13:30:15 +0000, 1147, 94040
2021-01-11 13:30:16 +0000, 1114, 95154
2021-01-11 13:30:17 +0000, 1163, 96317
2021-01-11 13:30:19 +0000, 1196, 97513
2021-01-11 13:30:20 +0000, 1171, 98684
2021-01-11 13:30:21 +0000, 1114, 99798
2021-01-11 13:30:22 +0000, 1163, 100961
2021-01-11 13:30:23 +0000, 1245, 102206
2021-01-11 13:30:24 +0000, 1270, 103476
2021-01-11 13:30:26 +0000, 1212, 104688
2021-01-11 13:30:27 +0000, 1147, 105835
2021-01-11 13:30:28 +0000, 1196, 107031
2021-01-11 13:30:29 +0000, 1253, 108284
2021-01-11 13:30:30 +0000, 1212, 109496
2021-01-11 13:30:31 +0000, 1147, 110643
2021-01-11 13:30:33 +0000, 1155, 111798
2021-01-11 13:30:34 +0000, 1229, 113027
2021-01-11 13:30:35 +0000, 1245, 114272
2021-01-11 13:30:36 +0000, 1163, 115435
2021-01-11 13:30:37 +0000, 1106, 116541
2021-01-11 13:30:38 +0000, 1171, 117712
2021-01-11 13:30:40 +0000, 1221, 118933
2021-01-11 13:30:41 +0000, 1171, 120104
2021-01-11 13:30:42 +0000, 1098, 121202
2021-01-11 13:30:43 +0000, 1130, 122332
2021-01-11 13:30:44 +0000, 1147, 123479
2021-01-11 13:30:45 +0000, 1130, 124609
2021-01-11 13:30:46 +0000, 1090, 125699
2021-01-11 13:30:47 +0000, 1081, 126780
2021-01-11 13:30:48 +0000, 1130, 127910
2021-01-11 13:30:49 +0000, 1163, 129073
2021-01-11 13:30:51 +0000, 1147, 130220
2021-01-11 13:30:52 +0000, 1081, 131301
2021-01-11 13:30:53 +0000, 1081, 132382
2021-01-11 13:30:54 +0000, 1139, 133521
2021-01-11 13:30:55 +0000, 1196, 134717
2021-01-11 13:30:56 +0000, 1114, 135831
2021-01-11 13:30:57 +0000, 1049, 136880
2021-01-11 13:30:58 +0000, 1057, 137937
2021-01-11 13:30:59 +0000, 1090, 139027
2021-01-11 13:31:00 +0000, 1073, 140100
2021-01-11 13:31:01 +0000, 1008, 141108
2021-01-11 13:31:02 +0000, 950, 142058
2021-01-11 13:31:03 +0000, 844, 142902
2021-01-11 13:31:04 +0000, 942, 143844
2021-01-11 13:31:05 +0000, 909, 144753
2021-01-11 13:31:06 +0000, 1122, 145875
2021-01-11 13:31:07 +0000, 1040, 146915
2021-01-11 13:31:08 +0000, 1040, 147955
2021-01-11 13:31:09 +0000, 1065, 149020
2021-01-11 13:31:10 +0000, 1057, 150077
2021-01-11 13:31:11 +0000, 1040, 151117
