date, rr, since start
2021-01-11 06:28:42 +0000, 1177, 2354
2021-01-11 06:28:43 +0000, 1137, 3491
2021-01-11 06:28:44 +0000, 1119, 4610
2021-01-11 06:28:45 +0000, 1121, 5731
2021-01-11 06:28:46 +0000, 998, 6729
2021-01-11 06:28:47 +0000, 1008, 7737
2021-01-11 06:28:48 +0000, 1130, 8867
2021-01-11 06:28:49 +0000, 1089, 9956
2021-01-11 06:28:50 +0000, 1136, 11092
2021-01-11 06:28:51 +0000, 1149, 12241
2021-01-11 06:28:52 +0000, 1127, 13368
2021-01-11 06:28:54 +0000, 1084, 14452
2021-01-11 06:28:55 +0000, 1125, 15577
2021-01-11 06:28:56 +0000, 1237, 16814
2021-01-11 06:28:57 +0000, 1227, 18041
2021-01-11 06:28:58 +0000, 1161, 19202
2021-01-11 06:28:59 +0000, 1206, 20408
2021-01-11 06:29:01 +0000, 1203, 21611
2021-01-11 06:29:02 +0000, 1113, 22724
2021-01-11 06:29:03 +0000, 1121, 23845
2021-01-11 06:29:04 +0000, 1210, 25055
2021-01-11 06:29:05 +0000, 1210, 26265
2021-01-11 06:29:06 +0000, 1144, 27409
2021-01-11 06:29:07 +0000, 1173, 28582
2021-01-11 06:29:08 +0000, 1212, 29794
2021-01-11 06:29:10 +0000, 1176, 30970
2021-01-11 06:29:11 +0000, 1084, 32054
2021-01-11 06:29:12 +0000, 1175, 33229
2021-01-11 06:29:13 +0000, 1294, 34523
2021-01-11 06:29:14 +0000, 1238, 35761
2021-01-11 06:29:16 +0000, 1206, 36967
2021-01-11 06:29:17 +0000, 1250, 38217
2021-01-11 06:29:18 +0000, 1231, 39448
2021-01-11 06:29:19 +0000, 1151, 40599
2021-01-11 06:29:20 +0000, 1165, 41764
2021-01-11 06:29:21 +0000, 1236, 43000
2021-01-11 06:29:23 +0000, 1243, 44243
2021-01-11 06:29:24 +0000, 1172, 45415
2021-01-11 06:29:25 +0000, 1185, 46600
2021-01-11 06:29:26 +0000, 1324, 47924
2021-01-11 06:29:27 +0000, 1280, 49204
2021-01-11 06:29:29 +0000, 1229, 50433
2021-01-11 06:29:30 +0000, 1280, 51713
2021-01-11 06:29:31 +0000, 1272, 52985
2021-01-11 06:29:32 +0000, 1196, 54181
2021-01-11 06:29:33 +0000, 1195, 55376
2021-01-11 06:29:35 +0000, 1217, 56593
2021-01-11 06:29:36 +0000, 1167, 57760
2021-01-11 06:29:37 +0000, 1138, 58898
